Listening to port 4567
Connected!!!
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 0.002, Point acc = 0.2, Ref Vel = 21.7778
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.776, Point acc = -1.91083, Ref Vel = 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 769.68, other_car_s : 796.705
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7608, sensor_car_s_speed * 0.7 : 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7358, Point acc = -1.87276, Ref Vel = 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 769.68, other_car_s : 796.705
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7608, sensor_car_s_speed * 0.7 : 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6963, Point acc = -1.83538, Ref Vel = 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 769.68, other_car_s : 796.705
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7608, sensor_car_s_speed * 0.7 : 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6576, Point acc = -1.79872, Ref Vel = 10.7608
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/BehaviorPlanner.h:142 == Current statea : 0, Avg speed12.8426, Time in state : 9, Current Lane : 1, Target Lane : 1
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 770.989, other_car_s : 798.242
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.817, Point acc = -1.951, Ref Vel = 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 770.989, other_car_s : 798.242
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7595, sensor_car_s_speed * 0.7 : 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7759, Point acc = -1.91218, Ref Vel = 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 770.989, other_car_s : 798.242
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7595, sensor_car_s_speed * 0.7 : 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7357, Point acc = -1.87406, Ref Vel = 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 770.989, other_car_s : 798.242
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7595, sensor_car_s_speed * 0.7 : 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6962, Point acc = -1.83666, Ref Vel = 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 770.989, other_car_s : 798.242
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7595, sensor_car_s_speed * 0.7 : 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6575, Point acc = -1.79996, Ref Vel = 10.7595
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 772.283, other_car_s : 799.609
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7759, Point acc = -1.91353, Ref Vel = 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 772.283, other_car_s : 799.609
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7583, sensor_car_s_speed * 0.7 : 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7357, Point acc = -1.8754, Ref Vel = 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 772.283, other_car_s : 799.609
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7583, sensor_car_s_speed * 0.7 : 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6962, Point acc = -1.83797, Ref Vel = 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 772.283, other_car_s : 799.609
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7583, sensor_car_s_speed * 0.7 : 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6574, Point acc = -1.80125, Ref Vel = 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 772.283, other_car_s : 799.609
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7583, sensor_car_s_speed * 0.7 : 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6194, Point acc = -1.76522, Ref Vel = 10.7583
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 773.659, other_car_s : 801.146
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.7357, Point acc = -1.87673, Ref Vel = 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 773.659, other_car_s : 801.146
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7571, sensor_car_s_speed * 0.7 : 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6961, Point acc = -1.83929, Ref Vel = 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 773.659, other_car_s : 801.146
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7571, sensor_car_s_speed * 0.7 : 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6573, Point acc = -1.80254, Ref Vel = 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 773.659, other_car_s : 801.146
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7571, sensor_car_s_speed * 0.7 : 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6193, Point acc = -1.76649, Ref Vel = 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 773.659, other_car_s : 801.146
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7571, sensor_car_s_speed * 0.7 : 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.582, Point acc = -1.73111, Ref Vel = 10.7571
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 774.685, other_car_s : 802.375
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6573, Point acc = -1.80358, Ref Vel = 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 774.685, other_car_s : 802.375
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7562, sensor_car_s_speed * 0.7 : 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6193, Point acc = -1.76752, Ref Vel = 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 774.685, other_car_s : 802.375
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7562, sensor_car_s_speed * 0.7 : 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5819, Point acc = -1.73213, Ref Vel = 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 774.685, other_car_s : 802.375
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7562, sensor_car_s_speed * 0.7 : 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5453, Point acc = -1.6974, Ref Vel = 10.7562
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 775.708, other_car_s : 803.604
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6193, Point acc = -1.76856, Ref Vel = 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 775.708, other_car_s : 803.604
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7552, sensor_car_s_speed * 0.7 : 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5819, Point acc = -1.73316, Ref Vel = 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 775.708, other_car_s : 803.604
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7552, sensor_car_s_speed * 0.7 : 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5452, Point acc = -1.69841, Ref Vel = 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 775.708, other_car_s : 803.604
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7552, sensor_car_s_speed * 0.7 : 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5093, Point acc = -1.66432, Ref Vel = 10.7552
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 776.728, other_car_s : 804.833
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5819, Point acc = -1.73417, Ref Vel = 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 776.728, other_car_s : 804.833
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7543, sensor_car_s_speed * 0.7 : 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5452, Point acc = -1.69942, Ref Vel = 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 776.728, other_car_s : 804.833
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7543, sensor_car_s_speed * 0.7 : 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5092, Point acc = -1.66531, Ref Vel = 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 776.728, other_car_s : 804.833
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7543, sensor_car_s_speed * 0.7 : 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.4739, Point acc = -1.63184, Ref Vel = 10.7543
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 777.998, other_car_s : 806.369
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6961, Point acc = -1.84366, Ref Vel = 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 777.998, other_car_s : 806.369
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7531, sensor_car_s_speed * 0.7 : 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6573, Point acc = -1.8069, Ref Vel = 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 777.998, other_car_s : 806.369
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7531, sensor_car_s_speed * 0.7 : 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6191, Point acc = -1.77075, Ref Vel = 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 777.998, other_car_s : 806.369
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7531, sensor_car_s_speed * 0.7 : 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5817, Point acc = -1.73528, Ref Vel = 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 777.998, other_car_s : 806.369
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7531, sensor_car_s_speed * 0.7 : 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.545, Point acc = -1.70049, Ref Vel = 10.7531
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 779.275, other_car_s : 807.905
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6573, Point acc = -1.80813, Ref Vel = 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 779.275, other_car_s : 807.905
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.752, sensor_car_s_speed * 0.7 : 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.6191, Point acc = -1.77197, Ref Vel = 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 779.275, other_car_s : 807.905
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.752, sensor_car_s_speed * 0.7 : 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5817, Point acc = -1.73648, Ref Vel = 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 779.275, other_car_s : 807.905
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.752, sensor_car_s_speed * 0.7 : 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5449, Point acc = -1.70166, Ref Vel = 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 779.275, other_car_s : 807.905
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.752, sensor_car_s_speed * 0.7 : 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5089, Point acc = -1.6675, Ref Vel = 10.752
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 780.298, other_car_s : 809.134
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 21.7778, sensor_car_s_speed * 0.7 : 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5817, Point acc = -1.73744, Ref Vel = 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 780.298, other_car_s : 809.134
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7511, sensor_car_s_speed * 0.7 : 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5449, Point acc = -1.70261, Ref Vel = 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 780.298, other_car_s : 809.134
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7511, sensor_car_s_speed * 0.7 : 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:401 == Point vel = 12.5089, Point acc = -1.66843, Ref Vel = 10.7511
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:230 == !!!!! In Danger Zone : car_s : 780.298, other_car_s : 809.134
DEBUG : /home/anoop/work/Udacity/SDC_Nanodegree/PathPlanning_Project/CarND-Path-Planning-Project/src/pathPlanner.h:231 == Original Ref Vel : 10.7511, sensor_car_s_speed * 0.7 : 10.7511
